First Two Words,Rest of Question
where did,rudolf virchow conduct his research?
what university,did gordon brown attend?
what countries,does greece share borders with?
what year,did the seahawks win the superbowl?
what did,stephen hawking become famous for?
who plays,donna noble?
what was,dr seuss education?
where did,queensland get its name from?
what document,did james madison write?
what are,the three official languages of belgium?
who played,bilbo in lord of the rings?
what airport,do you fly into to get to destin fl?
what do,you call members of the senate?
what countries,are part of the baltic?
what team,does colin kaepernick play for?
where did,joe flacco attend college?
who is,emma stone father?
where was,theodore roosevelt buried?
who was,the leader of the us during wwii?
what artistic,movement did henri matisse belong to?
where the,missouri river ends?
what type,of currency do they use in thailand?
who is,khloe kardashian's husband?
what years,did romney serve as governor?
what state,does romney live in?
what type,of government does france use?
who rules,denmark right now?
what did,stephen hawking study?
where did,bristol palin go to school?
what region,of the world is egypt associated with?
what did,dr. seuss do?
where did,drew brees go to college wikianswers?
what are,republicans views on health care?
what school,did ben roethlisberger go to?
where did,the iroquois indians come from?
what kind,of guitar did george harrison use?
what language,do navajo people speak?
what places,make up new england?
what are,the landlocked countries in latin america?
what type,of government does iraq have now?
where was,the vietnam war location?
who did,gerald ford select as his vice president when he became president?
what is,the currency used in italy?
who is,jamie little engaged to?
what is,the capital of modern egypt?
what school,did sir ernest rutherford go to?
what position,does brandon roy play?
where is,harvard university?
what does,janelle brown work?
where is,laos in world map?
where is,tyrese gibson from?
what countries,are near italy?
which states,does the colorado river run through?
who did,scarlett johansson date?
which continents,were part of the roman empire?
where was,elvis costello born?
where are,the gobi desert located on a map?
what type,of government does the us follow?
in which,continent is germany?
when did,the wright brothers created their first plane?
what language,turkey people speak?
who does,jeremy lin play for?
where is,the seychelles on world map?
what is,the average temperature in phoenix az in december?
where did,william morris go to college?
what state,is mount st. helens in?
who is,jimmy savile?
where were,the seneca indians located?
what is,william taft known for?
what state,is washington d.c. located?
where to,exchange euros in new york city?
when did,florida marlins join mlb?
what countries,have spanish as the national language?
what to,see in phoenix arizona?
what countries,does the panama canal go through?
what is,charlie chaplin famous for?
who did,paul revere marry?
what did,fred durst do?
who did,the chargers draft in 2011?
where do,american bulldogs originate from?
what colleges,did albert einstein teach at?
who plays,the voice of brian on family guy?
what make,of bike did steve mcqueen ride in the great escape?
where did,george w bush live as a child?
which dawkins,book to read first?
what year,was the first miss america pageant held?
what was,nikola tesla inventions?
where did,flemish people come from?
what state,new york city belong to?
what was,the cause of death for bruce lee?
what type,of government does usa follow?
what type,of currency do they use in england?
where was,benjamin franklin educated?
what countries,included in the uk?
what countries,in the world speak chinese?
where obama,went to school?
what is,the primary language of china?
who was,the soviet leader during world war ii?
which of,the following does australia export the most?
where was,david berkowitz arrested?
where was,the city of david?
what is,cindy sherman known for?
what tv,shows did shawnee smith play in?
what are,aristotle's contributions to science?
what does,australia use for currency?
which airport,to fly into rome?
what is,there to do for fun in kansas city?
where was,martin luther king jr raised?
what year,was lebron james rookie season?
where does,delaware river start?
what kind,of monarchy does japan have?
where did,mitt romney's parents come from?
what places,in japan were bombed?
when did,michael jordan return to the nba?
what type,of economy exists in china?
what is,the currency in egypt 2012?
where was,mission san rafael located?
who was,esther's husband?
who's dating,claire danes?
what county,is st paul va in?
what produce,does florida export?
what type,of sports do japanese play?
which countries,share a border with russia?
what did,drita find out?
where did,the latin language originate from?
when does,the mayan calendar end exactly?
what school,did karl benz go to?
what movies,has carmen electra been in?
when does,jewish new year start?
when do,world war ii end?
what do,christians believe about heaven hell and purgatory?
where did,morgan freeman graduate?
who did,queen elizabeth 1 executed?
where is,arabic most spoken?
who was,carolus linnaeus?
what type,of government does germany have now?
what kind,of government does libya have today?
what time,zone is anaheim california?
what year,did the orioles go to the world series?
what would,ap xin zhao do?
who is,sir francis bacon?
what were,amelia earhart's achievements?
what are,the official colors of the dallas cowboys?
